size,rate,rep,scenario,pattern,corruption,rate_full,rate_norr,delta
300,0.1,1,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,1,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,1,B,acquiescent,0.3,0.0,1.0,-1.0
300,0.1,1,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,1,B,acquiescent,0.5,0.0,1.0,-1.0
300,0.1,1,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,1,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,1,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,1,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,1,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,1,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,1,B,fatigue,0.5,0.0,0.0,0.0
300,0.1,1,B,fatigue,0.6,1.0,1.0,0.0
300,0.1,1,B,fatigue,0.8,1.0,1.0,0.0
300,0.1,1,B,fatigue,0.9,1.0,1.0,0.0
300,0.1,1,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,1,B,longstring,0.1,0.0,0.0,0.0
300,0.1,1,B,longstring,0.2,0.0,0.0,0.0
300,0.1,1,B,longstring,0.3,1.0,0.0,1.0
300,0.1,1,B,longstring,0.4,1.0,1.0,0.0
300,0.1,1,B,longstring,0.6,1.0,1.0,0.0
300,0.1,1,B,longstring,0.7,1.0,1.0,0.0
300,0.1,1,B,longstring,0.8,1.0,0.0,1.0
300,0.1,1,B,longstring,0.9,1.0,1.0,0.0
300,0.1,1,B,longstring,1.0,1.0,1.0,0.0
300,0.1,1,B,mixed,0.2,1.0,0.0,1.0
300,0.1,1,B,mixed,0.3,0.0,0.0,0.0
300,0.1,1,B,mixed,0.4,0.0,0.0,0.0
300,0.1,1,B,mixed,0.5,0.0,1.0,-1.0
300,0.1,1,B,mixed,0.6,1.0,0.0,1.0
300,0.1,1,B,mixed,0.7,0.0,0.0,0.0
300,0.1,1,B,mixed,0.8,1.0,1.0,0.0
300,0.1,1,B,mixed,1.0,1.0,0.0,1.0
300,0.1,1,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,1,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,1,B,pure_straight,0.3,0.0,0.0,0.0
300,0.1,1,B,pure_straight,0.4,0.0,0.0,0.0
300,0.1,1,B,pure_straight,0.6,1.0,0.0,1.0
300,0.1,1,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,1,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,1,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,1,B,random,0.1,0.0,0.0,0.0
300,0.1,1,B,random,0.2,0.0,0.0,0.0
300,0.1,1,B,random,0.3,0.0,0.0,0.0
300,0.1,1,B,random,0.4,1.0,1.0,0.0
300,0.1,1,B,random,0.6,1.0,0.0,1.0
300,0.1,1,B,random,0.7,1.0,1.0,0.0
300,0.1,1,B,random,0.8,1.0,1.0,0.0
300,0.1,1,B,random,0.9,1.0,1.0,0.0
300,0.1,1,B,random,1.0,1.0,1.0,0.0
300,0.1,2,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,2,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,2,B,acquiescent,0.3,0.0,0.0,0.0
300,0.1,2,B,acquiescent,0.4,1.0,1.0,0.0
300,0.1,2,B,acquiescent,0.6,0.0,1.0,-1.0
300,0.1,2,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,2,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,2,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,2,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,2,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,2,B,fatigue,0.3,0.0,0.0,0.0
300,0.1,2,B,fatigue,0.4,0.0,1.0,-1.0
300,0.1,2,B,fatigue,0.5,0.0,0.0,0.0
300,0.1,2,B,fatigue,0.8,0.0,0.0,0.0
300,0.1,2,B,fatigue,0.9,1.0,0.0,1.0
300,0.1,2,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,2,B,longstring,0.1,0.0,0.0,0.0
300,0.1,2,B,longstring,0.2,0.0,0.0,0.0
300,0.1,2,B,longstring,0.3,0.0,1.0,-1.0
300,0.1,2,B,longstring,0.4,0.0,0.0,0.0
300,0.1,2,B,longstring,0.5,0.0,0.0,0.0
300,0.1,2,B,longstring,0.6,0.0,0.0,0.0
300,0.1,2,B,longstring,0.7,1.0,1.0,0.0
300,0.1,2,B,longstring,0.8,1.0,1.0,0.0
300,0.1,2,B,longstring,1.0,1.0,1.0,0.0
300,0.1,2,B,mixed,0.1,0.0,0.0,0.0
300,0.1,2,B,mixed,0.3,0.0,1.0,-1.0
300,0.1,2,B,mixed,0.4,1.0,1.0,0.0
300,0.1,2,B,mixed,0.5,1.0,0.0,1.0
300,0.1,2,B,mixed,0.6,1.0,0.0,1.0
300,0.1,2,B,mixed,0.8,1.0,0.0,1.0
300,0.1,2,B,mixed,0.9,1.0,0.0,1.0
300,0.1,2,B,mixed,1.0,0.0,1.0,-1.0
300,0.1,2,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,2,B,pure_straight,0.3,0.0,0.0,0.0
300,0.1,2,B,pure_straight,0.4,1.0,1.0,0.0
300,0.1,2,B,pure_straight,0.5,1.0,1.0,0.0
300,0.1,2,B,pure_straight,0.6,1.0,0.0,1.0
300,0.1,2,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,2,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,2,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,2,B,random,0.2,0.0,0.0,0.0
300,0.1,2,B,random,0.3,1.0,0.0,1.0
300,0.1,2,B,random,0.4,0.0,0.0,0.0
300,0.1,2,B,random,0.5,0.0,1.0,-1.0
300,0.1,2,B,random,0.6,1.0,1.0,0.0
300,0.1,2,B,random,0.7,1.0,1.0,0.0
300,0.1,2,B,random,0.8,1.0,0.0,1.0
300,0.1,2,B,random,0.9,1.0,1.0,0.0
300,0.1,2,B,random,1.0,1.0,1.0,0.0
300,0.1,3,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,3,B,acquiescent,0.3,0.0,1.0,-1.0
300,0.1,3,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,3,B,acquiescent,0.5,1.0,1.0,0.0
300,0.1,3,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,3,B,acquiescent,0.7,1.0,0.0,1.0
300,0.1,3,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,3,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,3,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,3,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,3,B,fatigue,0.5,0.0,1.0,-1.0
300,0.1,3,B,fatigue,0.6,1.0,0.0,1.0
300,0.1,3,B,fatigue,0.7,0.0,1.0,-1.0
300,0.1,3,B,fatigue,0.8,1.0,1.0,0.0
300,0.1,3,B,fatigue,0.9,1.0,0.0,1.0
300,0.1,3,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,3,B,longstring,0.2,0.0,1.0,-1.0
300,0.1,3,B,longstring,0.3,0.0,0.0,0.0
300,0.1,3,B,longstring,0.4,0.0,1.0,-1.0
300,0.1,3,B,longstring,0.5,0.0,0.0,0.0
300,0.1,3,B,longstring,0.6,1.0,0.0,1.0
300,0.1,3,B,longstring,0.7,1.0,0.0,1.0
300,0.1,3,B,longstring,0.8,1.0,1.0,0.0
300,0.1,3,B,longstring,0.9,1.0,1.0,0.0
300,0.1,3,B,longstring,1.0,1.0,1.0,0.0
300,0.1,3,B,mixed,0.2,0.0,0.0,0.0
300,0.1,3,B,mixed,0.3,0.0,0.0,0.0
300,0.1,3,B,mixed,0.4,0.0,0.0,0.0
300,0.1,3,B,mixed,0.5,1.0,1.0,0.0
300,0.1,3,B,mixed,0.6,0.0,0.0,0.0
300,0.1,3,B,mixed,0.7,0.0,0.0,0.0
300,0.1,3,B,mixed,0.8,1.0,1.0,0.0
300,0.1,3,B,mixed,1.0,1.0,0.0,1.0
300,0.1,3,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,3,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,3,B,pure_straight,0.4,1.0,1.0,0.0
300,0.1,3,B,pure_straight,0.5,1.0,0.0,1.0
300,0.1,3,B,pure_straight,0.6,1.0,1.0,0.0
300,0.1,3,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,3,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,3,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,3,B,random,0.1,0.0,0.0,0.0
300,0.1,3,B,random,0.2,0.0,0.0,0.0
300,0.1,3,B,random,0.4,1.0,0.0,1.0
300,0.1,3,B,random,0.5,1.0,0.0,1.0
300,0.1,3,B,random,0.6,1.0,0.0,1.0
300,0.1,3,B,random,0.7,1.0,1.0,0.0
300,0.1,3,B,random,0.8,1.0,1.0,0.0
300,0.1,3,B,random,0.9,1.0,0.0,1.0
300,0.1,3,B,random,1.0,1.0,0.0,1.0
300,0.1,4,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,4,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,4,B,acquiescent,0.3,1.0,1.0,0.0
300,0.1,4,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,4,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,4,B,acquiescent,0.7,1.0,1.0,0.0
300,0.1,4,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,4,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,4,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,4,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,4,B,fatigue,0.3,0.0,0.0,0.0
300,0.1,4,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,4,B,fatigue,0.6,0.0,1.0,-1.0
300,0.1,4,B,fatigue,0.7,1.0,1.0,0.0
300,0.1,4,B,fatigue,0.9,1.0,1.0,0.0
300,0.1,4,B,fatigue,1.0,1.0,0.0,1.0
300,0.1,4,B,longstring,0.2,0.0,0.0,0.0
300,0.1,4,B,longstring,0.3,0.0,0.0,0.0
300,0.1,4,B,longstring,0.4,1.0,1.0,0.0
300,0.1,4,B,longstring,0.5,0.0,1.0,-1.0
300,0.1,4,B,longstring,0.6,0.0,0.0,0.0
300,0.1,4,B,longstring,0.7,1.0,1.0,0.0
300,0.1,4,B,longstring,0.8,1.0,1.0,0.0
300,0.1,4,B,longstring,0.9,1.0,1.0,0.0
300,0.1,4,B,longstring,1.0,1.0,1.0,0.0
300,0.1,4,B,mixed,0.1,0.0,0.0,0.0
300,0.1,4,B,mixed,0.2,0.0,0.0,0.0
300,0.1,4,B,mixed,0.4,0.0,0.0,0.0
300,0.1,4,B,mixed,0.5,0.0,1.0,-1.0
300,0.1,4,B,mixed,0.7,1.0,0.0,1.0
300,0.1,4,B,mixed,0.8,0.0,0.0,0.0
300,0.1,4,B,mixed,0.9,1.0,1.0,0.0
300,0.1,4,B,mixed,1.0,1.0,1.0,0.0
300,0.1,4,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,4,B,pure_straight,0.2,1.0,0.0,1.0
300,0.1,4,B,pure_straight,0.3,1.0,1.0,0.0
300,0.1,4,B,pure_straight,0.5,0.0,0.0,0.0
300,0.1,4,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,4,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,4,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,4,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,4,B,random,0.1,0.0,0.0,0.0
300,0.1,4,B,random,0.2,0.0,0.0,0.0
300,0.1,4,B,random,0.3,0.0,0.0,0.0
300,0.1,4,B,random,0.4,0.0,0.0,0.0
300,0.1,4,B,random,0.5,0.0,0.0,0.0
300,0.1,4,B,random,0.6,1.0,0.0,1.0
300,0.1,4,B,random,0.8,1.0,0.0,1.0
300,0.1,4,B,random,0.9,1.0,0.0,1.0
300,0.1,4,B,random,1.0,1.0,1.0,0.0
300,0.1,5,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,5,B,acquiescent,0.3,0.0,1.0,-1.0
300,0.1,5,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,5,B,acquiescent,0.5,0.0,1.0,-1.0
300,0.1,5,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,5,B,acquiescent,0.7,1.0,1.0,0.0
300,0.1,5,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,5,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,5,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,5,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,5,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,5,B,fatigue,0.6,0.0,0.0,0.0
300,0.1,5,B,fatigue,0.7,1.0,1.0,0.0
300,0.1,5,B,fatigue,0.8,0.0,0.0,0.0
300,0.1,5,B,fatigue,0.9,1.0,1.0,0.0
300,0.1,5,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,5,B,longstring,0.1,0.0,0.0,0.0
300,0.1,5,B,longstring,0.2,1.0,0.0,1.0
300,0.1,5,B,longstring,0.3,0.0,0.0,0.0
300,0.1,5,B,longstring,0.4,0.0,1.0,-1.0
300,0.1,5,B,longstring,0.5,0.0,0.0,0.0
300,0.1,5,B,longstring,0.6,0.0,1.0,-1.0
300,0.1,5,B,longstring,0.7,1.0,0.0,1.0
300,0.1,5,B,longstring,0.8,1.0,1.0,0.0
300,0.1,5,B,longstring,0.9,1.0,1.0,0.0
300,0.1,5,B,mixed,0.2,0.0,0.0,0.0
300,0.1,5,B,mixed,0.4,1.0,0.0,1.0
300,0.1,5,B,mixed,0.5,1.0,1.0,0.0
300,0.1,5,B,mixed,0.6,1.0,0.0,1.0
300,0.1,5,B,mixed,0.7,1.0,0.0,1.0
300,0.1,5,B,mixed,0.8,1.0,0.0,1.0
300,0.1,5,B,mixed,0.9,1.0,1.0,0.0
300,0.1,5,B,mixed,1.0,1.0,1.0,0.0
300,0.1,5,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,5,B,pure_straight,0.2,0.0,1.0,-1.0
300,0.1,5,B,pure_straight,0.3,0.0,1.0,-1.0
300,0.1,5,B,pure_straight,0.4,0.0,1.0,-1.0
300,0.1,5,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,5,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,5,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,5,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,5,B,random,0.1,0.0,0.0,0.0
300,0.1,5,B,random,0.2,0.0,0.0,0.0
300,0.1,5,B,random,0.4,1.0,0.0,1.0
300,0.1,5,B,random,0.5,1.0,0.0,1.0
300,0.1,5,B,random,0.6,1.0,0.0,1.0
300,0.1,5,B,random,0.7,1.0,1.0,0.0
300,0.1,5,B,random,0.8,1.0,0.0,1.0
300,0.1,5,B,random,0.9,1.0,1.0,0.0
300,0.1,5,B,random,1.0,1.0,0.0,1.0
300,0.1,6,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,6,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,6,B,acquiescent,0.3,0.0,0.0,0.0
300,0.1,6,B,acquiescent,0.4,1.0,1.0,0.0
300,0.1,6,B,acquiescent,0.5,1.0,1.0,0.0
300,0.1,6,B,acquiescent,0.6,0.0,0.0,0.0
300,0.1,6,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,6,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,6,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,6,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,6,B,fatigue,0.3,0.0,0.0,0.0
300,0.1,6,B,fatigue,0.4,1.0,1.0,0.0
300,0.1,6,B,fatigue,0.7,0.0,0.0,0.0
300,0.1,6,B,fatigue,0.8,0.0,0.0,0.0
300,0.1,6,B,fatigue,0.9,1.0,0.0,1.0
300,0.1,6,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,6,B,longstring,0.1,0.0,0.0,0.0
300,0.1,6,B,longstring,0.3,0.0,0.0,0.0
300,0.1,6,B,longstring,0.4,0.0,1.0,-1.0
300,0.1,6,B,longstring,0.5,1.0,0.0,1.0
300,0.1,6,B,longstring,0.6,1.0,1.0,0.0
300,0.1,6,B,longstring,0.7,1.0,1.0,0.0
300,0.1,6,B,longstring,0.8,1.0,1.0,0.0
300,0.1,6,B,longstring,0.9,1.0,0.0,1.0
300,0.1,6,B,longstring,1.0,1.0,0.0,1.0
300,0.1,6,B,mixed,0.1,0.0,0.0,0.0
300,0.1,6,B,mixed,0.2,1.0,1.0,0.0
300,0.1,6,B,mixed,0.3,0.0,0.0,0.0
300,0.1,6,B,mixed,0.5,1.0,0.0,1.0
300,0.1,6,B,mixed,0.7,1.0,0.0,1.0
300,0.1,6,B,mixed,0.8,1.0,0.0,1.0
300,0.1,6,B,mixed,0.9,0.0,0.0,0.0
300,0.1,6,B,mixed,1.0,1.0,1.0,0.0
300,0.1,6,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,6,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,6,B,pure_straight,0.3,1.0,1.0,0.0
300,0.1,6,B,pure_straight,0.4,1.0,1.0,0.0
300,0.1,6,B,pure_straight,0.5,0.0,0.0,0.0
300,0.1,6,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,6,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,6,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,6,B,random,0.1,0.0,0.0,0.0
300,0.1,6,B,random,0.2,0.0,0.0,0.0
300,0.1,6,B,random,0.3,0.0,0.0,0.0
300,0.1,6,B,random,0.4,0.0,0.0,0.0
300,0.1,6,B,random,0.5,1.0,0.0,1.0
300,0.1,6,B,random,0.6,0.0,0.0,0.0
300,0.1,6,B,random,0.7,0.0,1.0,-1.0
300,0.1,6,B,random,0.9,1.0,1.0,0.0
300,0.1,6,B,random,1.0,1.0,0.0,1.0
300,0.1,7,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,7,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,7,B,acquiescent,0.3,0.0,0.0,0.0
300,0.1,7,B,acquiescent,0.4,1.0,1.0,0.0
300,0.1,7,B,acquiescent,0.5,0.0,0.0,0.0
300,0.1,7,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,7,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,7,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,7,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,7,B,fatigue,0.3,0.0,0.0,0.0
300,0.1,7,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,7,B,fatigue,0.5,0.0,1.0,-1.0
300,0.1,7,B,fatigue,0.6,1.0,0.0,1.0
300,0.1,7,B,fatigue,0.7,1.0,1.0,0.0
300,0.1,7,B,fatigue,0.8,1.0,1.0,0.0
300,0.1,7,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,7,B,longstring,0.1,0.0,0.0,0.0
300,0.1,7,B,longstring,0.2,0.0,0.0,0.0
300,0.1,7,B,longstring,0.3,0.0,0.0,0.0
300,0.1,7,B,longstring,0.5,0.0,0.0,0.0
300,0.1,7,B,longstring,0.6,1.0,1.0,0.0
300,0.1,7,B,longstring,0.7,1.0,1.0,0.0
300,0.1,7,B,longstring,0.8,1.0,0.0,1.0
300,0.1,7,B,longstring,0.9,1.0,1.0,0.0
300,0.1,7,B,longstring,1.0,1.0,1.0,0.0
300,0.1,7,B,mixed,0.1,0.0,0.0,0.0
300,0.1,7,B,mixed,0.2,0.0,0.0,0.0
300,0.1,7,B,mixed,0.3,0.0,0.0,0.0
300,0.1,7,B,mixed,0.4,0.0,0.0,0.0
300,0.1,7,B,mixed,0.5,1.0,0.0,1.0
300,0.1,7,B,mixed,0.7,1.0,1.0,0.0
300,0.1,7,B,mixed,0.9,1.0,0.0,1.0
300,0.1,7,B,mixed,1.0,1.0,1.0,0.0
300,0.1,7,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,7,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,7,B,pure_straight,0.3,0.0,1.0,-1.0
300,0.1,7,B,pure_straight,0.4,1.0,1.0,0.0
300,0.1,7,B,pure_straight,0.5,1.0,1.0,0.0
300,0.1,7,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,7,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,7,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,7,B,random,0.1,0.0,0.0,0.0
300,0.1,7,B,random,0.2,0.0,0.0,0.0
300,0.1,7,B,random,0.3,0.0,0.0,0.0
300,0.1,7,B,random,0.4,0.0,0.0,0.0
300,0.1,7,B,random,0.5,0.0,0.0,0.0
300,0.1,7,B,random,0.6,1.0,1.0,0.0
300,0.1,7,B,random,0.8,1.0,1.0,0.0
300,0.1,7,B,random,0.9,1.0,1.0,0.0
300,0.1,7,B,random,1.0,1.0,0.0,1.0
300,0.1,8,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,8,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,8,B,acquiescent,0.3,1.0,1.0,0.0
300,0.1,8,B,acquiescent,0.4,1.0,0.0,1.0
300,0.1,8,B,acquiescent,0.6,1.0,0.0,1.0
300,0.1,8,B,acquiescent,0.7,1.0,1.0,0.0
300,0.1,8,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,8,B,acquiescent,1.0,1.0,1.0,0.0
300,0.1,8,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,8,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,8,B,fatigue,0.3,0.0,0.0,0.0
300,0.1,8,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,8,B,fatigue,0.5,1.0,1.0,0.0
300,0.1,8,B,fatigue,0.7,0.0,0.0,0.0
300,0.1,8,B,fatigue,0.8,1.0,1.0,0.0
300,0.1,8,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,8,B,longstring,0.1,0.0,0.0,0.0
300,0.1,8,B,longstring,0.2,0.0,0.0,0.0
300,0.1,8,B,longstring,0.3,0.0,0.0,0.0
300,0.1,8,B,longstring,0.4,0.0,0.0,0.0
300,0.1,8,B,longstring,0.6,1.0,1.0,0.0
300,0.1,8,B,longstring,0.7,1.0,0.0,1.0
300,0.1,8,B,longstring,0.8,1.0,1.0,0.0
300,0.1,8,B,longstring,0.9,1.0,1.0,0.0
300,0.1,8,B,longstring,1.0,1.0,0.0,1.0
300,0.1,8,B,mixed,0.1,0.0,0.0,0.0
300,0.1,8,B,mixed,0.2,1.0,0.0,1.0
300,0.1,8,B,mixed,0.3,0.0,0.0,0.0
300,0.1,8,B,mixed,0.5,0.0,1.0,-1.0
300,0.1,8,B,mixed,0.7,0.0,0.0,0.0
300,0.1,8,B,mixed,0.8,1.0,1.0,0.0
300,0.1,8,B,mixed,0.9,1.0,0.0,1.0
300,0.1,8,B,mixed,1.0,1.0,0.0,1.0
300,0.1,8,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,8,B,pure_straight,0.2,0.0,0.0,0.0
300,0.1,8,B,pure_straight,0.4,0.0,0.0,0.0
300,0.1,8,B,pure_straight,0.5,0.0,0.0,0.0
300,0.1,8,B,pure_straight,0.6,1.0,1.0,0.0
300,0.1,8,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,8,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,8,B,pure_straight,0.9,1.0,1.0,0.0
300,0.1,8,B,random,0.1,0.0,0.0,0.0
300,0.1,8,B,random,0.2,0.0,1.0,-1.0
300,0.1,8,B,random,0.3,0.0,0.0,0.0
300,0.1,8,B,random,0.4,0.0,0.0,0.0
300,0.1,8,B,random,0.5,1.0,0.0,1.0
300,0.1,8,B,random,0.7,1.0,0.0,1.0
300,0.1,8,B,random,0.8,1.0,0.0,1.0
300,0.1,8,B,random,0.9,0.0,0.0,0.0
300,0.1,8,B,random,1.0,1.0,1.0,0.0
300,0.1,9,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,9,B,acquiescent,0.2,0.0,0.0,0.0
300,0.1,9,B,acquiescent,0.3,0.0,0.0,0.0
300,0.1,9,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,9,B,acquiescent,0.6,0.0,0.0,0.0
300,0.1,9,B,acquiescent,0.7,1.0,1.0,0.0
300,0.1,9,B,acquiescent,0.8,1.0,1.0,0.0
300,0.1,9,B,acquiescent,0.9,1.0,1.0,0.0
300,0.1,9,B,fatigue,0.1,0.0,0.0,0.0
300,0.1,9,B,fatigue,0.2,0.0,0.0,0.0
300,0.1,9,B,fatigue,0.4,0.0,0.0,0.0
300,0.1,9,B,fatigue,0.5,1.0,1.0,0.0
300,0.1,9,B,fatigue,0.6,0.0,0.0,0.0
300,0.1,9,B,fatigue,0.8,1.0,1.0,0.0
300,0.1,9,B,fatigue,0.9,1.0,0.0,1.0
300,0.1,9,B,fatigue,1.0,1.0,1.0,0.0
300,0.1,9,B,longstring,0.1,0.0,0.0,0.0
300,0.1,9,B,longstring,0.2,0.0,1.0,-1.0
300,0.1,9,B,longstring,0.4,1.0,0.0,1.0
300,0.1,9,B,longstring,0.5,1.0,1.0,0.0
300,0.1,9,B,longstring,0.6,1.0,1.0,0.0
300,0.1,9,B,longstring,0.7,1.0,1.0,0.0
300,0.1,9,B,longstring,0.8,1.0,1.0,0.0
300,0.1,9,B,longstring,0.9,1.0,1.0,0.0
300,0.1,9,B,longstring,1.0,1.0,1.0,0.0
300,0.1,9,B,mixed,0.1,0.0,0.0,0.0
300,0.1,9,B,mixed,0.2,0.0,0.0,0.0
300,0.1,9,B,mixed,0.3,0.0,0.0,0.0
300,0.1,9,B,mixed,0.6,1.0,1.0,0.0
300,0.1,9,B,mixed,0.7,1.0,1.0,0.0
300,0.1,9,B,mixed,0.8,1.0,1.0,0.0
300,0.1,9,B,mixed,0.9,1.0,1.0,0.0
300,0.1,9,B,mixed,1.0,1.0,1.0,0.0
300,0.1,9,B,pure_straight,0.1,0.0,0.0,0.0
300,0.1,9,B,pure_straight,0.2,0.0,1.0,-1.0
300,0.1,9,B,pure_straight,0.4,1.0,0.0,1.0
300,0.1,9,B,pure_straight,0.5,1.0,1.0,0.0
300,0.1,9,B,pure_straight,0.6,1.0,1.0,0.0
300,0.1,9,B,pure_straight,0.7,1.0,1.0,0.0
300,0.1,9,B,pure_straight,0.8,1.0,1.0,0.0
300,0.1,9,B,pure_straight,1.0,1.0,1.0,0.0
300,0.1,9,B,random,0.1,0.0,0.0,0.0
300,0.1,9,B,random,0.2,0.0,1.0,-1.0
300,0.1,9,B,random,0.3,0.0,0.0,0.0
300,0.1,9,B,random,0.4,0.0,0.0,0.0
300,0.1,9,B,random,0.5,0.0,0.0,0.0
300,0.1,9,B,random,0.6,0.0,0.0,0.0
300,0.1,9,B,random,0.7,1.0,0.0,1.0
300,0.1,9,B,random,0.8,1.0,0.0,1.0
300,0.1,9,B,random,0.9,1.0,0.0,1.0
300,0.1,10,B,acquiescent,0.1,0.0,0.0,0.0
300,0.1,10,B,acquiescent,0.2,1.0,1.0,0.0
300,0.1,10,B,acquiescent,0.4,0.0,0.0,0.0
300,0.1,10,B,acquiescent,0.5,1.0,1.0,0.0
300,0.1,10,B,acquiescent,0.6,1.0,1.0,0.0
300,0.1,10,B,acquiescent,0.7,1.0,0.0,1.0
300,0.1,10,B,acquiescent,0.9,1.0,1.0,0.0
